Nama Sukuk,Nilai Nominal,Interest/ Disc rate,Listing Date,Mature Date
SUKUK IJARAH BERKELANJUTAN IV GLOBAL MEDIACOM TAHAP I TAHUN 2023 SERI C,"15,350,000,000",11.25,7 Jul 2023,6 Jul 2028
SUKUK IJARAH BERKELANJUTAN IV INDOSAT TAHAP I TAHUN 2022 SERI A,"375,000,000,000",7.0,27 Oct 2022,26 Oct 2025
SUKUK IJARAH BERKELANJUTAN IV INDOSAT TAHAP I TAHUN 2022 SERI B,"375,000,000,000",7.7,27 Oct 2022,26 Oct 2027
SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI A,"39,000,000,000",6.7,9 Sep 2020,8 Sep 2025
SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI B,"35,000,000,000",7.25,9 Sep 2020,8 Sep 2027
SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI C,"200,000,000,000",7.9,9 Sep 2020,8 Sep 2030
SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI D,"56,000,000,000",8.65,9 Sep 2020,8 Sep 2035
SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI E,"46,500,000,000",8.86,9 Sep 2020,8 Sep 2040
SUKUK IJARAH I ANGKASA PURA I TAHUN 2016 SERI C,"177,000,000,000",8.55,23 Nov 2016,22 Nov 2026
SUKUK IJARAH I POLYTAMA PROPINDO TAHUN 2020 SERI B,"5,550,000,000",11.0,9 Sep 2020,9 Sep 2023
SUKUK IJARAH II POLYTAMA PROPINDO TAHUN 2021 SERI B,"56,000,000,000",7.25,9 Sep 2021,8 Sep 2026
SUKUK MUDHARABAH BERKELANJUTAN I BANK CIMB NIAGA TAHAP II TAHUN 2019 SERI C,"429,000,000,000",8.25,22 Aug 2019,21 Aug 2024
SUKUK MUDHARABAH BERKELANJUTAN I BANK CIMB NIAGA TAHAP III TAHUN 2020 SERI B,"287,000,000,000",7.0,30 Mar 2020,27 Mar 2023
SUKUK MUDHARABAH BERKELANJUTAN I BANK CIMB NIAGA TAHAP III TAHUN 2020 SERI C,"391,000,000,000",7.25,30 Mar 2020,27 Mar 2025
SUKUK MUDHARABAH BERKELANJUTAN I BUSSAN AUTO FINANCE TAHAP I TAHUN 2020,"15,000,000,000",8.25,4 Aug 2020,4 Aug 2023
SUKUK MUDHARABAH BERKELANJUTAN I BUSSAN AUTO FINANCE TAHAP II TAHUN 2020 SERI B,"112,000,000,000",7.25,22 Oct 2020,22 Oct 2023
SUKUK MUDHARABAH BERKELANJUTAN I HUTAMA KARYA TAHAP I TAHUN 2021 SERI A,"16,500,000,000",8.25,8 Sep 2021,7 Sep 2024
SUKUK MUDHARABAH BERKELANJUTAN I HUTAMA KARYA TAHAP I TAHUN 2021 SERI B,"64,450,000,000",8.55,8 Sep 2021,7 Sep 2026
SUKUK MUDHARABAH BERKELANJUTAN I HUTAMA KARYA TAHAP I TAHUN 2021 SERI C,"419,050,000,000",9.3,8 Sep 2021,7 Sep 2028
SUKUK MUDHARABAH BERKELANJUTAN I HUTAMA KARYA TAHAP II TAHUN 2022 SERI A,"138,250,000,000",6.5,13 Jan 2022,12 Jan 2025
SUKUK MUDHARABAH BERKELANJUTAN I HUTAMA KARYA TAHAP II TAHUN 2022 SERI B,"105,260,000,000",7.75,13 Jan 2022,12 Jan 2027
SUKUK MUDHARABAH BERKELANJUTAN I HUTAMA KARYA TAHAP II TAHUN 2022 SERI C,"69,490,000,000",8.25,13 Jan 2022,12 Jan 2029
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP I TAHUN 2021 SERI B,"449,250,000,000",9.25,1 Oct 2021,30 Sep 2024
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP I TAHUN 2021 SERI C,"50,750,000,000",10.0,1 Oct 2021,30 Sep 2026
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP II TAHUN 2021 SERI B,"304,525,000,000",8.75,9 Dec 2021,8 Dec 2024
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP II TAHUN 2021 SERI C,"247,090,000,000",9.25,9 Dec 2021,8 Dec 2026
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP III TAHUN 2022 SERI A,"701,945,000,000",6.0,25 Feb 2022,26 Mar 2023
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP III TAHUN 2022 SERI B,"451,225,000,000",8.75,25 Feb 2022,24 Feb 2025
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP III TAHUN 2022 SERI C,"108,020,000,000",9.25,25 Feb 2022,24 Feb 2027
SUKUK MUDHARABAH BERKELANJUTAN I INTEGRA INDOCABINET TAHAP I TAHUN 2021 SERI B,"97,500,000,000",10.25,15 Apr 2021,14 Apr 2024
SUKUK MUDHARABAH BERKELANJUTAN I INTEGRA INDOCABINET TAHAP II TAHUN 2022 SERI A,"83,800,000,000",9.0,28 Mar 2022,25 Mar 2025
SUKUK MUDHARABAH BERKELANJUTAN I INTEGRA INDOCABINET TAHAP II TAHUN 2022 SERI B,"25,230,000,000",9.75,28 Mar 2022,25 Mar 2027
SUKUK MUDHARABAH BERKELANJUTAN I MANDALA MULTIFINANCE TAHAP II TAHUN 2022 SERI A,"453,500,000,000",8.0,7 Jul 2022,13 Jul 2023
SUKUK MUDHARABAH BERKELANJUTAN I MANDALA MULTIFINANCE TAHAP II TAHUN 2022 SERI B,"196,500,000,000",9.0,7 Jul 2022,6 Jul 2025
